2025-09-28 15:23:37,270 - INFO - DNS General iniciado en 0.0.0.0:50005
2025-09-28 15:23:37,271 - INFO - Esperando registros de servidores...
2025-09-28 15:26:52,168 - INFO - DNS General iniciado en 127.0.0.1:50005
2025-09-28 15:26:52,170 - INFO - Esperando registros de servidores...
2025-09-28 15:56:09,161 - INFO - Petición de ('127.0.0.1', 60291): heartbeat
2025-09-28 15:56:09,534 - INFO - Petición de ('127.0.0.1', 60292): heartbeat
2025-09-28 15:56:09,893 - INFO - Petición de ('127.0.0.1', 60293): heartbeat
2025-09-28 15:56:38,407 - INFO - Petición de ('127.0.0.1', 52710): heartbeat
2025-09-28 15:56:38,782 - INFO - Petición de ('127.0.0.1', 52712): heartbeat
2025-09-28 15:56:39,162 - INFO - Petición de ('127.0.0.1', 52714): heartbeat
2025-09-28 15:56:39,536 - INFO - Petición de ('127.0.0.1', 52716): heartbeat
2025-09-28 15:56:39,895 - INFO - Petición de ('127.0.0.1', 52718): heartbeat
2025-09-28 15:57:08,409 - INFO - Petición de ('127.0.0.1', 64641): heartbeat
2025-09-28 15:57:08,784 - INFO - Petición de ('127.0.0.1', 64642): heartbeat
2025-09-28 15:57:09,164 - INFO - Petición de ('127.0.0.1', 64643): heartbeat
2025-09-28 15:57:09,538 - INFO - Petición de ('127.0.0.1', 64644): heartbeat
2025-09-28 15:57:09,897 - INFO - Petición de ('127.0.0.1', 64645): heartbeat
2025-09-28 15:57:38,410 - INFO - Petición de ('127.0.0.1', 58358): heartbeat
2025-09-28 15:57:38,785 - INFO - Petición de ('127.0.0.1', 58360): heartbeat
2025-09-28 15:57:39,166 - INFO - Petición de ('127.0.0.1', 58362): heartbeat
2025-09-28 15:57:39,540 - INFO - Petición de ('127.0.0.1', 58364): heartbeat
2025-09-28 15:57:39,899 - INFO - Petición de ('127.0.0.1', 58366): heartbeat
2025-09-28 15:58:08,412 - INFO - Petición de ('127.0.0.1', 63579): heartbeat
2025-09-28 15:58:08,787 - INFO - Petición de ('127.0.0.1', 63580): heartbeat
2025-09-28 15:58:09,168 - INFO - Petición de ('127.0.0.1', 63581): heartbeat
2025-09-28 15:58:09,542 - INFO - Petición de ('127.0.0.1', 63582): heartbeat
2025-09-28 15:58:09,901 - INFO - Petición de ('127.0.0.1', 63583): heartbeat
2025-09-28 15:58:38,414 - INFO - Petición de ('127.0.0.1', 62271): heartbeat
2025-09-28 15:58:38,790 - INFO - Petición de ('127.0.0.1', 62273): heartbeat
2025-09-28 15:58:39,169 - INFO - Petición de ('127.0.0.1', 62275): heartbeat
2025-09-28 15:58:39,544 - INFO - Petición de ('127.0.0.1', 62278): heartbeat
2025-09-28 15:58:39,903 - INFO - Petición de ('127.0.0.1', 62280): heartbeat
2025-09-28 15:59:08,416 - INFO - Petición de ('127.0.0.1', 59101): heartbeat
2025-09-28 15:59:08,792 - INFO - Petición de ('127.0.0.1', 59102): heartbeat
2025-09-28 15:59:09,172 - INFO - Petición de ('127.0.0.1', 59103): heartbeat
2025-09-28 15:59:09,546 - INFO - Petición de ('127.0.0.1', 59104): heartbeat
2025-09-28 15:59:09,904 - INFO - Petición de ('127.0.0.1', 59105): heartbeat
2025-09-28 15:59:15,385 - INFO - DNS General iniciado en 127.0.0.1:50005
2025-09-28 15:59:15,386 - INFO - Esperando registros de servidores...
2025-09-28 15:59:38,197 - INFO - Petición de ('127.0.0.1', 57908): registrar_servidor
2025-09-28 15:59:38,198 - INFO - Servidor SERVER1 registrado con 4 archivos
